'a 啊
'yi'kai'yi'ge 移开一个
'yi'kan 一看
'yi'kan 亿看
'yi'kan'jiu'sheng 一看就剩
'yi'kan'ye'shi 一看也是
'yi'kao 依靠
'yi'kao'ji'jiu'che 依靠急救车
'yi'ke 医科
'yi'ke 一颗
'yi'ke'da 医科大
'yi'ke'da'de 医科大的
'yi'ke'da'hai 医科大还
'yi'ke'da'ni 医科大你
'yi'ke'da'xue 医科大学
'yi'ke'da'xue'fu'shu 医科大学附属
'yi'ke'da'xue'sheng'ji 医科大学升级
'yi'ke'da'yi'sheng'zhan 医科大医生站
'yi'ke'da'zhi'ding 医科大制定
'yi'ke'er'yi 一颗而已
'yi'ke'ni'hao 医科你好
'yi'kou 一口
'yi'kou'dou'shi 一口都是
'yi'kuai 一块
'yi'kuai'bai'se 一块白色
'yi'kuai'bi'jiao 一块比较
'yi'kuai'dan'du 一块单独
'yi'kuai'le 一块了
'yi'kuai'mei'you 一块没有
'yi'kuai'qu'xian 一块曲线
'yi'kuai'teng'tong 一块疼痛
'yi'kuai'xian'shi 一块显示
'yi'kuan 一款
'yi'kuan'de 一款的
'yi'kuan'jiu'xing 一款就行
'yi'kuan'qu'dong 一款驱动
'yi'kuan'zhong'biao 一款中标
'yi'lai 以来
'yi'lai 依赖
'yi'lai 一来
'yi'lai'ge'ge 以来各个
'yi'lan'biao 一览表
'yi'lan'de 义懒得
'yi'le 亿了
'yi'lei 一类
'yi'lei 乙类
'yi'lei'de 乙类的
'yi'lei'na 一类那
'yi'lei'yi'zhu 一类医嘱
'yi'lian'xiang 益联想
'yi'liang 一辆
'yi'liang'ba 一辆吧
'yi'liang'ge 一两个
'yi'liang'ge'gong'neng 一两个功能
'yi'liang'ge'xu'qiu 一两个需求
'yi'liang'nian 一两年
'yi'liang'tian 一两天
'yi'liang'tian'gai'bu'hao 一两天改不好
'yi'liang'tian'ke'yi 一两天可以
'yi'liang'tiao 一两条
'yi'liang'tiao'ne 一两条呢
'yi'liang'wan 一两万
'yi'liang'wan'de 一两万的
'yi'liang'zhang 一两张
'yi'liang'zhang'cai'xing 一两张才行
'yi'liang'zhou 一两周
'yi'liang'zhou'nei 一两周内
'yi'liao 医疗
'yi'liao'dan'wei 医疗单位
'yi'liao'hen'meng 医疗很猛
'yi'liao'mo'ban 医疗模板
'yi'liao'ping'gu 医疗评估
'yi'liao'shu'ju 医疗数据
'yi'liao'wen'shu 医疗文书
'yi'liao'xi'tong 医疗系统
'yi'liao'xie'zuo 医疗协作
'yi'liao'xin'xi'hua 医疗信息化
'yi'liao'xing'wei 医疗行为
'yi'liao'zhi'liang 医疗质量
'yi'liao'zhi'neng 医疗智能
'yi'liao'zhong'xin 医疗中心
'yi'lie 一列
'yi'lie'de 一列的
'yi'lie'dou'shi 一列都是
'yi'lie'le 一列了
'yi'lie'lie'tou 一列列头
'yi'lie'lu'ru 一列录入
'yi'lie'na'li 一列那里
'yi'lie'ni 一列你
'yi'lie'nong 一列弄
'yi'lie'o 一列哦
'yi'lie'suo'yi 一列所以
'yi'lie'wo 一列我
'yi'lie'xi'huan 一列喜欢
'yi'lie'xu'yao 一列需要
'yi'lie'xuan'ze'de 一列选择的
'yi'lie'yao'me 一列要么
'yi'lie'yi'hou 一列以后
'yi'lie'ying'cang 一列影藏
'yi'lie'zhe'ge 一列这个
'yi'lie'zuo'biao 一列坐标
'yi'lou'jian 一楼见
'yi'lu'zou'hao 一路走好
'yi'mai 一卖
'yi'mai 一买
'yi'mai'jiu 一卖就
'yi'mai'jiu'tao 一买就套
'yi'mai'jiu'zhang 一卖就涨
'yi'mao 一毛
'yi'mao'shou'ru 一毛收入
'yi'miao 一秒
'yi'miao'jian'cha 一秒检查
'yi'min 一敏
'yi'min 移民
'yi'min'bu'shi 一敏不是
'yi'min'bu'zhi'dao 一敏不知道
'yi'min'cai 一敏才
'yi'min'cai'ji 一敏采集
'yi'min'da'le 一敏打了
'yi'min'de 一敏的
'yi'min'deng 一敏等
'yi'min'fen'dian 一敏分点
'yi'min'gu'ji 一敏估计
'yi'min'hai 一敏还
'yi'min'hai'shi 一敏还是
'yi'min'hai'zi 一敏孩子
'yi'min'he 一敏和
'yi'min'jia 一敏加
'yi'min'jun 一敏君
'yi'min'lao'po 一敏老婆
'yi'min'liao'liao 一敏聊聊
'yi'min'mai'piao 一敏买票
'yi'min'na'zou 一敏拿走
'yi'min'ni 一敏你
'yi'min'quan'li 一敏权利
'yi'min'shi 一敏是
'yi'min'shuo 一敏说
'yi'min'song'wo 一敏送我
'yi'min'wan'dian 一敏晚点
'yi'min'wo 一敏我
'yi'min'yi'hou 一敏以后
'yi'min'you 一敏有
'yi'min'you'dian 移民有点
'yi'min'zhang'peng 一敏帐篷
'yi'min'zhi 一敏只
'yi'min'zhi'lei 一敏之类
'yi'min'zhi'neng 一敏只能
'yi'mo'yi'yang 一模一样
'yi'mo'yi'yang'de 一模一样的
'yi'mo'yi'yang'ma 一模一样吗
'yi'mu 亿幕
'yi'nei 以内
'yi'nei'de 以内的
'yi'nei'du 以内赌
'yi'nei'gong'xi 以内恭喜
'yi'nei'you 以内有
'yi'ni 益你
'yi'ni 以你
'yi'ni'de 以你的
'yi'ni'gei'ta 以你给他
'yi'nian 一年
'yi'nian'ban 一年半
'yi'nian'ban'le 一年半了
'yi'nian'bi'xu 一年必须
'yi'nian'bu'guo 一年不过
'yi'nian'cai 一年才
'yi'nian'dao'shou 一年到手
'yi'nian'de 一年的
'yi'nian'duo 一年多
'yi'nian'duo'chu 一年多出
'yi'nian'gei'ge 一年给个
'yi'nian'hou 一年后
'yi'nian'jiang'jin 一年奖金
'yi'nian'jiu 一年就
'yi'nian'jiu'yao 一年就要
'yi'nian'jiu'you 一年就有
'yi'nian'ken'ding 一年肯定
'yi'nian'le 一年了
'yi'nian'mei'gao 一年没搞
'yi'nian'qian 一年前
'yi'nian'qian'de 一年前的
'yi'nian'ru'zhi 一年入职
'yi'nian'shi'jian 一年时间
'yi'nian'shou'yi 一年收益
'yi'nian'ye 一年也
'yi'nian'ye'jiu 一年也就
'yi'nian'yi'ban 一年一般
'yi'nian'yi'ci 一年一次
'yi'nian'ying'ye'e 一年营业额
'yi'nian'zheng 一年挣
'yi'nian'zong'shu'shao 一年总数少
'yi'pai 一排
'yi'pai'cao'zuo 一排操作
'yi'pan'duan 以判断
'yi'pao 一泡
'yi'pi 一批
'yi'pi'shi'de 一批是的
'yi'pi'xu'qiu 一批需求
'yi'pi'yi'pi 一批一批
'yi'pi'yi'pi'de 一批一批的
'yi'pian 一片
'yi'pian'bai 一片白
'yi'pian'da'hao 一片大好
'yi'pian'lv 一片绿
'yi'pian'lv'a 一片绿啊
'yi'pian'yin'wei 一片因为
'yi'ping 一瓶
'yi'ping 一平
'yi'ping'gu 一评估
'yi'ping'jiu 一瓶酒
'yi'ping'ni 一平你
'yi'ping'wo'men'xiao'qu 一平我们小区
'yi'ping'yao 一瓶药
'yi'ping'yao'dou 一瓶药都
'yi'ping'yao'fa 一瓶药发
'yi'ping'yao'gei 一瓶药给
'yi'ping'zhong'hai 一平中海
'yi'po'mo 已破膜
'yi'qi 一起
'yi'qi 一期
'yi'qi 义气
'yi'qi 仪器
'yi'qi 一汽
'yi'qi'a 一起啊
'yi'qi'ba 一起把
'yi'qi'ba 一起吧
'yi'qi'ban'ge'xiao'shi 一起半个小时
'yi'qi'bian'xie 一起编写
'yi'qi'ce 一起测
'yi'qi'ce'shi 一起测试
'yi'qi'chi'dun 一起吃顿
'yi'qi'chi'fan 一起吃饭
'yi'qi'chi'ge 一起吃个
'yi'qi'chi'ge'fan 一起吃个饭
'yi'qi'chu'chai 一起出差
'yi'qi'chu'qu 一起出去
'yi'qi'chuan'ba 一起传吧
'yi'qi'cou'gou 一起凑够
'yi'qi'cun'zai 一起存在
'yi'qi'da 一起搭
'yi'qi'da'dao 一起打到
'yi'qi'dao 一起到
'yi'qi'de 一起的
'yi'qi'de 一期的
'yi'qi'de 仪器的
'yi'qi'ding 一起定
'yi'qi'ding'xia 一起定下
'yi'qi'dong 已启动
'yi'qi'dou 一起都
'yi'qi'fa 一起发
'yi'qi'fa'de 一起发的
'yi'qi'fa'guo'lai 一起发过来
'yi'qi'fa'le 一起发了
'yi'qi'fa'ni 一起发你
'yi'qi'fa'wo 一起发我
'yi'qi'fa'ying'gai 一起发应该
'yi'qi'feng'fa 意气风发
'yi'qi'feng'fa'de 意气风发的
'yi'qi'feng'tian 一汽丰田
'yi'qi'feng'tian'you 一汽丰田有
'yi'qi'gai 一起改
'yi'qi'gai'le 一起改了
'yi'qi'gan'huo 一起干活
'yi'qi'gei'le 一起给了
'yi'qi'gen'zong 一起跟踪
'yi'qi'geng'xin 一起更新
'yi'qi'gong'zuo'guo 一起工作过
'yi'qi'guan'li 仪器管理
'yi'qi'guo'qu 一起过去
'yi'qi'hai 一起还
'yi'qi'hao'hao 一起好好
'yi'qi'he'bing 一起合并
'yi'qi'he'dian 一起喝点
'yi'qi'he'dian'ba 一起喝点吧
'yi'qi'he'jiu 一起喝酒
'yi'qi'hu'shi 一起护士
'yi'qi'hui'ba 一起回吧
'yi'qi'hui'jia 一起回家
'yi'qi'huo'dong'huo'dong 一起活动活动
'yi'qi'jiao'xun 一起教训
'yi'qi'jie 一起接
'yi'qi'jie'ba 一起接吧
'yi'qi'jiu'xing 一起就行
'yi'qi'kai'fa 一起开发
'yi'qi'kai'ge'hui 一起开个会
'yi'qi'kan'kan 一起看看
'yi'qi'kan'xia 一起看下
'yi'qi'la'dong'xi 一起拉东西
'yi'qi'lai 一起来
'yi'qi'le 一起了
'yi'qi'lu'ru 一起录入
'yi'qi'mai 一起卖
'yi'qi'mai'che 一起买车
'yi'qi'ni 义气你
'yi'qi'nong 一起弄
'yi'qi'nong'ba 一起弄吧
'yi'qi'nong'jin'qu 一起弄进去
'yi'qi'nong'ta 一起弄他
'yi'qi'nong'xia 一起弄下
'yi'qi'nong'yi'xia 一起弄一下
'yi'qi'nu'li 一起努力
'yi'qi'pei'he 一起配合
'yi'qi'qing 一起请
'yi'qi'qu 一起去
'yi'qi'qu'ba 一起去吧
'yi'qi'qu'gei 一起去给
'yi'qi'qu'xi'zao 一起去洗澡
'yi'qi'shang 一起上
'yi'qi'shang'ba 一起上吧
'yi'qi'shang'le 一起上了
'yi'qi'shang'shi'bu'shi 一起上是不是
'yi'qi'shi'a 一起是啊
'yi'qi'tao'lun 一起讨论
'yi'qi'tong'ji 一起统计
'yi'qi'tong'ji 一期统计
'yi'qi'tuan'gou 一起团购
'yi'qi'tui'chu 一起退出
'yi'qi'wan 一起玩
'yi'qi'wan'le 一起完了
'yi'qi'wo 一起我
'yi'qi'wo 义气我
'yi'qi'xiang'ban'fa 一起想办法
'yi'qi'xie 一起写
'yi'qi'xie'xia 一起写下
'yi'qi'xiu'gai 一起修改
'yi'qi'xuan'de 一起选的
'yi'qi'yan'jiu 一起研究
'yi'qi'yong 一起用
'yi'qi'yong'shi'de 一起用是的
'yi'qi'zai 一起在
'yi'qi'zhao 一起找
'yi'qi'zhao 一起照
'yi'qi'zhe'me 一起这么
'yi'qi'zhu 一起住
'yi'qi'zi'dian'biao 仪器字典表
'yi'qi'zou'ma 一起走吗
'yi'qi'zuo 一起做
'yi'qian 以前
'yi'qian 益签
'yi'qian 一签
'yi'qian'bei'zhu 以前备注
'yi'qian'bu'shi 以前不是
'yi'qian'bu'yi'yang 以前不一样
'yi'qian'cai 以前才
'yi'qian'chen'hao 以前陈浩
'yi'qian'chu'xian 以前出现
'yi'qian'chu'xian'guo 以前出现过
'yi'qian'cong 以前从
'yi'qian'de 以前的
'yi'qian'dian'zi'bing'li 以前电子病历
'yi'qian'diao'yong 以前调用
'yi'qian'dou 以前都
'yi'qian'dou'shi 以前都是
'yi'qian'duo 一千多
'yi'qian'duo'jin'tian 一千多今天
'yi'qian'gai'guo 以前改过
'yi'qian'gao'de 以前搞得
'yi'qian'hao'de 以前好的
'yi'qian'hao'xiang 以前好像
'yi'qian'ji'ben 以前基本
'yi'qian'jiao'ben 以前脚本
'yi'qian'jiao'de 以前交的
'yi'qian'jie'guo 以前结果
'yi'qian'jie'tu 以前截图
'yi'qian'jiu 以前就
'yi'qian'jiu'shi 以前就是
'yi'qian'jiu'you 以前就有
'yi'qian'kan'dao 以前看到
'yi'qian'ken'ding 以前肯定
'yi'qian'lin'chuang 以前临床
'yi'qian'lu'ru 以前录入
'yi'qian'mei 以前没
'yi'qian'mei'ci 以前每次
'yi'qian'mei'qu'guo 以前没去过
'yi'qian'mei'ren 以前没人
'yi'qian'mei'you 以前没有
'yi'qian'ming'cheng 以前名称
'yi'qian'mo'ren 以前默认
'yi'qian'na'zhong 以前那种
'yi'qian'pai'xu 以前排序
'yi'qian'pan'duan 以前判断
'yi'qian'peng'dao 以前碰到
'yi'qian'quan'ju 以前全局
'yi'qian'ren'men 以前人们
'yi'qian'ren'zi 以前人资
'yi'qian'shang 以前上
'yi'qian'shi 以前是
'yi'qian'shi'bu'shi 以前是不是
'yi'qian'shi'ji 以前实际
'yi'qian'shi'shi 以前实施
'yi'qian'shu'ju 以前数据
'yi'qian'ta 以前他
'yi'qian'ti'guo 以前提过
'yi'qian'tian'jia 以前添加
'yi'qian'tong'ji 以前统计
'yi'qian'tu'jing 以前途径
'yi'qian'wei'hu 以前维护
'yi'qian'wo 以前我
'yi'qian'wo'men 以前我们
'yi'qian'xiang'de 以前想的
'yi'qian'xiao'jie 以前小结
'yi'qian'xie'de 以前写的
'yi'qian'xie'guo 以前写过
'yi'qian'xin'sheng'er 以前新生儿
'yi'qian'ye 以前也
'yi'qian'ye'fa'le 一签也发了
'yi'qian'ye'shi 以前也是
'yi'qian'yi'jing 以前已经
'yi'qian'yi'mo'yi'yang 以前一模一样
'yi'qian'yi'wei 以前以为
'yi'qian'yi'yang 以前一样
'yi'qian'yi'zhi 以前一直
'yi'qian'ying'gai 以前应该
'yi'qian'you 以前有
'yi'qian'you 以前又
'yi'qian'you'ge 以前有个
'yi'qian'you'le 以前有了
'yi'qian'you'shi 以前有事
'yi'qian'you'xie 以前有些
'yi'qian'you'yi'yuan 以前由医院
'yi'qian'zai 以前在
'yi'qian'zai'ke 以前在科
'yi'qian'zao 以前早
'yi'qian'zhe'ge 以前这个
'yi'qian'zhi'gai 以前只改
'yi'qian'zhu'ce 以前注册
'yi'qian'zhu'ce'guo 以前注册过
'yi'qian'zi'ji 以前自己
'yi'qian'zong'jie 以前总结
'yi'qian'zou'de 以前走的
'yi'qian'zuo 以前做
'yi'qian'zuo'de 以前做的
'yi'qian'zuo'guo 以前做过
'yi'qie 一切
'yi'qie'dou 一切都
'yi'qie'zheng'chang 一切正常
'yi'qu 一区
'yi'qu'ba 一去吧
'yi'quan 一圈
'yi'quan'ni 一圈你
'yi'ren 一人
'yi'ren'chu'chai 一人出差
'yi'ren'fa 一人发
'yi'ren'yi'tuo 一人一坨
'yi'ri'you 一日游
'yi'ri'you'le 一日游了
'yi'ru'ji'wang 一如既往
'yi'ru'ji'wang'de 一如既往的
'yi'shang 以上
'yi'shang'ba 以上吧
'yi'shang'ban 一上班
'yi'shang'bian'su 以上变速
'yi'shang'bie'ren 以上别人
'yi'shang'bu'hui 以上不回
'yi'shang'cai 以上才
'yi'shang'cai'xing 以上才行
'yi'shang'chu'le 以上除了
'yi'shang'da 以上打
'yi'shang'dai'gong 以上戴工
'yi'shang'dan'shi 以上但是
'yi'shang'de 以上的
'yi'shang'die'le 以上跌了
'yi'shang'gei'wo 以上给我
'yi'shang'he 以上喝
'yi'shang'jiu'xing 以上就行
'yi'shang'kan'xia 以上看下
'yi'shang'le 以上了
'yi'shang'na 以上那
'yi'shang'sheng'yin 以上声音
'yi'shang'shi'a 以上是啊
'yi'shang'shi'shi 以上实施
'yi'shang'si'ge 以上四个
'yi'shang'suo'you 以上所有
'yi'shang'wo 以上我
'yi'shang'wu 一上午
'yi'shang'wu'bai'gan 一上午白干
'yi'shang'wu'bu'xing 一上午不行
'yi'shang'wu'jiu 一上午就
'yi'shang'xian'zai 以上现在
'yi'shang'yong'jin'wan 以上雍锦湾
'yi'shang'zhe'ge 以上这个
'yi'shen 一身
'yi'shen'xiang'xu 以身相许
'yi'shen'xiang'xu'ba 以身相许吧
'yi'sheng 医生
'yi'sheng'biao'zhi 医生标志
'yi'sheng'bing'li 医生病历
'yi'sheng'bing'li'ying'gai 医生病历应该
'yi'sheng'bu'yong 医生不用
'yi'sheng'chong'xin 医生重新
'yi'sheng'de 医生的
'yi'sheng'dou 医生都
'yi'sheng'dui 医生对
'yi'sheng'gong'hao 医生工号
'yi'sheng'gong'zuo'zhan 医生工作站
'yi'sheng'gou'tong 医生沟通
'yi'sheng'he 医生和
'yi'sheng'hu'shi 医生护士
'yi'sheng'huo 医生或
'yi'sheng'jian 医生建
'yi'sheng'jiu 医生就
'yi'sheng'kai'de 医生开的
'yi'sheng'le 医生了
'yi'sheng'liang'ge'zi 医生两个字
'yi'sheng'lu'ru 医生录入
'yi'sheng'que'ding 医生确定
'yi'sheng'que'ren 医生确认
'yi'sheng'shi 医生是
'yi'sheng'shuo 医生说
'yi'sheng'ti'jiao 医生提交
'yi'sheng'xian'zai 医生现在
'yi'sheng'ye 医生也
'yi'sheng'yong 医生用
'yi'sheng'yong'de 医生用的
'yi'sheng'you 医生有
'yi'sheng'you'shen'me 医生有什么
'yi'sheng'yu 医生与
'yi'sheng'zai 医生在
'yi'sheng'zen'me 医生怎么
'yi'sheng'zen'me'shuo 医生怎么说
'yi'sheng'zhan 医生站
'yi'sheng'zhan'a 医生站啊
'yi'sheng'zhan'ba 医生站吧
'yi'sheng'zhan'cheng'xu 医生站程序
'yi'sheng'zhan'dai'ma 医生站代码
'yi'sheng'zhan'de 医生站的
'yi'sheng'zhan'dian'ji 医生站点击
'yi'sheng'zhan'gong'zuo 医生站工作
'yi'sheng'zhan'gu'ji 医生站估计
'yi'sheng'zhan'he 医生站和
'yi'sheng'zhan'hu'shi'zhan 医生站护士站
'yi'sheng'zhan'jia'le 医生站加了
'yi'sheng'zhan'jiu 医生站就
'yi'sheng'zhan'ke'yi 医生站可以
'yi'sheng'zhan'ma 医生站吗
'yi'sheng'zhan'neng 医生站能
'yi'sheng'zhan'ni 医生站你
'yi'sheng'zhan'qu 医生站去
'yi'sheng'zhan'shi 医生站是
'yi'sheng'zhan'shi'bu'shi 医生站是不是
'yi'sheng'zhan'xian'zai 医生站现在
'yi'sheng'zhan'xin'zeng 医生站新增
'yi'sheng'zhan'yao'gai 医生站要改
'yi'sheng'zhan'ye'neng 医生站也能
'yi'sheng'zhan'ye'yao 医生站也要
'yi'sheng'zhan'yi'sheng'zhan 医生站医生站
'yi'sheng'zhan'yi'yang 医生站一样
'yi'sheng'zhan'yong'qi'lai 医生站用起来
'yi'sheng'zhan'you 医生站有
'yi'sheng'zhan'zhang'shou'hua 医生站张寿华
'yi'sheng'zhan'zhen'zheng 医生站真正
'yi'sheng'zhan'zhu'ren 医生站主任
'yi'sheng'zhen 医生诊
'yi'sheng'zhong'duan 医生终端
'yi'sheng'zhong'zheng 医生重症
'yi'sheng'zi'ji 医生自己
'yi'sheng'zuo 医生做
'yi'shi 医师
'yi'shi 意识
'yi'shi 一是
'yi'shi 益是
'yi'shi'a 意识啊
'yi'shi'ba 一十八
'yi'shi'ba'xiao'shi 一十八小时
'yi'shi'ban'hui 一时半会
'yi'shi'ban'hui'neng 一时半会能
'yi'shi'cao'gong 医师曹工
'yi'shi'dao'le 意识到了
'yi'shi'de 医师的
'yi'shi'hai 意识还
'yi'shi'hai'shi 医师还是
'yi'shi'shen'zhi 意识神志
'yi'shi'shi 一实施
'yi'shi'shi 意识是
'yi'shi'xia'la 意识下拉
'yi'shi'xia'la'kuang 意识下拉框
'yi'shi'xuan'ze 医师选择
'yi'shi'ying'lv 亿市盈率
'yi'shi'yong 医试用
'yi'shi'you 意识有
'yi'shi'zhi 亿市值
'yi'shi'zhi'hu 意识知乎
'yi'shi'zhuang'tai 意识状态
'yi'shou 一手
'yi'shou'che 一手车
'yi'shua'xin 一刷新
'yi'shua'xin'jiu 一刷新就
'yi'shuo 一说
'yi'si 意思
'yi'si'a 意思啊
'yi'si'ba 意思吧
'yi'si'bian'yi 意思编译
'yi'si'biao 意思表
'yi'si'bie'de 意思别的
'yi'si'bu 意思不
'yi'si'bu'tai 意思不太
'yi'si'ca 意思擦
'yi'si'cai'neng 意思才能
'yi'si'chu'ru'liang 意思出入量
'yi'si'da'gou 意思打钩
'yi'si'deng'zhe'ba 意思等着吧
'yi'si'fu'jian 意思附件
'yi'si'gan'de 意思干的
'yi'si'geng 意思更
'yi'si'ha 意思哈
'yi'si'hai 意思还
'yi'si'hao 意思好
'yi'si'hao'de 意思好的
'yi'si'hu'li'dan 意思护理单
'yi'si'jian'qing 意思减轻
'yi'si'jin'tian 意思今天
'yi'si'jiu'shi 意思就是
'yi'si'kai'chu'lai 意思开出来
'yi'si'kan'bu'jian 意思看不见
'yi'si'ke'yi 意思可以
'yi'si'la'dao 意思拉倒
'yi'si'le 意思了
'yi'si'li'jie 意思理解
'yi'si'li'ma 意思立马
'yi'si'liu'cheng 意思流程
'yi'si'lu'ru 意思录入
'yi'si'ma 意思吗
'yi'si'mei'you 意思没有
'yi'si'na 意思那
'yi'si'na'wo 意思那我
'yi'si'nan'yuan 意思南院
'yi'si'ne 意思呢
'yi'si'ni 意思你
'yi'si'o 意思哦
'yi'si'qi'shi 意思其实
'yi'si'ran'hou 意思然后
'yi'si'rang'wo 意思让我
'yi'si'ri'qi 意思日期
'yi'si'ru'guo 意思如果
'yi'si'shi 意思是
'yi'si'shi'a 意思是啊
'yi'si'shi'de 意思是的
'yi'si'shuai'ge 意思帅哥
'yi'si'suo'yi 意思所以
'yi'si'ta 意思她
'yi'si'ta'men 意思他们
'yi'si'ting 意思停
'yi'si'wei'ye 意思胃液
'yi'si'wo 意思我
'yi'si'xian'zai 意思现在
'yi'si'xin'zeng 意思新增
'yi'si'xu'qiu 意思需求
'yi'si'yao 意思要
'yi'si'ye 意思也
'yi'si'yi'ban 意思一般
'yi'si'yin'wei 意思因为
'yi'si'ying'gai 意思应该
'yi'si'yuan'lai 意思原来
'yi'si'zai 意思在
'yi'si'zhe'ge 意思这个
'yi'si'zhe'zhong 意思这种
'yi'si'zhen'duan 意思诊断
'yi'si'zheng'qian 意思挣钱
'yi'si'zhi'chi 意思支持
'yi'si'zhi'jie 意思直接
'yi'si'zhu'yao 意思主要
'yi'si'zong'liang 意思总量
'yi'si'zui'hao 意思最好
'yi'si'zui'hou 意思最后
'yi'si'zuo'shi 意思做事
'yi'suan 一算
'yi'suan'chi 一算吃
'yi'sui 一岁
'yi'sui'ba 一岁吧
'yi'sui'bao'bao 一岁宝宝
'yi'sui'de 一岁的
'yi'sui'duo 一岁多
'yi'sui'jian'gu'zhi'wang 一岁荐股之王
'yi'ta 以他
'yi'ta'wei'chi 以他为耻
'yi'tai 一台
'yi'tai'bei'fen 一台备份
'yi'tai'ce'shi 一台测试
'yi'tai'dian'nao 一台电脑
'yi'tai'dian'nao'shang 一台电脑上
'yi'tai'hao'le 一台好了
'yi'tai'hui'lai 一台回来
'yi'tai'lian 一台连
'yi'tai'lian'de 一台连得
'yi'tai'mei'you 一台没有
'yi'tai'nan 亿太难
'yi'tai'ping'ban 一台平板
'yi'tai'she'bei 一台设备
'yi'tai'tou 一抬头
'yi'tai'wo 一台我
'yi'tang 一趟
'yi'tang'ba 一趟吧
'yi'tang'bi'jiao'lei 一趟比较累
'yi'tang'bu'zhi'dao 一趟不知道
'yi'tang'che 一趟车
'yi'tang'che'le 一趟车了
'yi'tang'de 一趟的
'yi'tang'le 一趟了
'yi'tang'qian 一趟钱
'yi'tang'shi 一趟是
'yi'tang'shi'chang 一趟市场
'yi'tang'ta'jia 一趟他家
'yi'tang'wo 一趟我
'yi'tao 一套
'yi'tao'ba 一套吧
'yi'tao'bie'shu 一套别墅
'yi'tao'cheng'xu 一套程序
'yi'tao'da'de 一套大的
'yi'tao'de 一套的
'yi'tao'fu'wu'duan 一套服务端
'yi'tao'lin'chuang 一套临床
'yi'tao'mu'qian 一套目前
'yi'tao'ne 一套呢
'yi'tao'su'zhou 一套苏州
'yi'tao'wo 一套我
'yi'tao'yong'qi'lai 一套用起来
'yi'tao'zai 一套在
'yi'ti'hua 一体化
'yi'ti'hua'yi'hu 一体化医护
'yi'ti'jiao 已提交
'yi'tian 一天
'yi'tian'a 一天啊
'yi'tian'an 一天按
'yi'tian'ba 一天吧
'yi'tian'bei'jing 一天北京
'yi'tian'bu'jian 一天不见
'yi'tian'da'gui'mo 一天大规模
'yi'tian'dai'ying 一天戴赢
'yi'tian'de 一天的
'yi'tian'die'fu 一天跌幅
'yi'tian'dou 一天都
'yi'tian'dou'zai 一天都在
'yi'tian'duo'ci 一天多次
'yi'tian'ge'ren 一天个人
'yi'tian'hao'de 一天好的
'yi'tian'hui 一天会
'yi'tian'hui'yi 一天会议
'yi'tian'ji'ci 一天几次
'yi'tian'jin'tian 一天今天
'yi'tian'jiu 一天就
'yi'tian'jiu'hao 一天就好
'yi'tian'kai'shi 一天开始
'yi'tian'ke'yi 一天可以
'yi'tian'ken'ding 一天肯定
'yi'tian'kui 一天亏
'yi'tian'la 一天拉
'yi'tian'le 一天了
'yi'tian'lian'xi 一天联系
'yi'tian'lu'ru 一天录入
'yi'tian'ma 一天吗
'yi'tian'na'ni 一天那你
'yi'tian'nei 一天内
'yi'tian'nei'you 一天内有
'yi'tian'neng 一天能
'yi'tian'ni 一天你
'yi'tian'san'ci 一天三次
'yi'tian'shen'ti 一天身体
'yi'tian'shi 一天是
'yi'tian'shi'de 一天是的
'yi'tian'shi'jian 一天时间
'yi'tian'wo 一天我
'yi'tian'xia'zhou 一天下周
'yi'tian'yi'ci 一天一次
'yi'tian'yi'tian 一天一天
'yi'tian'yi'tiao 一天一条
'yi'tian'yi'ye 一天一页
'yi'tian'yi'zhang 一天一张
'yi'tian'you 一天有
'yi'tian'zai 一天在
'yi'tian'zen'me'ban 一天怎么办
'yi'tian'zhe 一天这
'yi'tian'zhe'shi 一天这是
'yi'tian'zhe'zhou 一天这周
'yi'tian'zheng 一天挣
'yi'tian'zhi'hui 一天只会
'yi'tian'zhi'you 一天只有
'yi'tian'zhou'liu 一天周六
'yi'tian'zhou'mo 一天周末
'yi'tiao 一条
'yi'tiao 一跳
'yi'tiao'ba 一条吧
'yi'tiao'bi'ru 一条比如
'yi'tiao'bing'qing 一条病情
'yi'tiao'cao 以跳槽
'yi'tiao'cao'zuo 一条操作
'yi'tiao'dai'ma 一条代码
'yi'tiao'de 一条的
'yi'tiao'dui'ying 一条对应
'yi'tiao'hai'shi 一条还是
'yi'tiao'hu'li 一条护理
'yi'tiao'huan'zhe 一条患者
'yi'tiao'ji'lu 一条记录
'yi'tiao'lin'shi 一条临时
'yi'tiao'na 一条那
'yi'tiao'shi'de 一条是的
'yi'tiao'shu'ju 一条数据
'yi'tiao'shu'qian 一条术前
'yi'tiao'ti'wen'dan 一条体温单
'yi'tiao'tiao 一条条
'yi'tiao'tiao'de 一条条的
'yi'tiao'xian 一条线
'yi'tiao'xian'ying'gai 一条线应该
'yi'tiao'xin'de 一条新的
'yi'tiao'xin'nei 一条心内
'yi'tiao'ye 一条也
'yi'tiao'yi'tiao 一条一条
'yi'tiao'yi'zhu 一条医嘱
'yi'tiao'yin'wei 一条因为
'yi'tiao'yu'ju'jiu 一条语句就
'yi'tiao'zhe'li 一跳这里
'yi'tiao'zhuan'ke 一条转科
'yi'ting 一听
'yi'ting'xu'guan'jie 一听许冠杰
'yi'ting'zhi 已停止
'yi'ting'zhi'fu'wu'duan 已停止服务端
